أفغانستان,af,93
ألبانيا,al,355
الجزائر,dz,213
ساموا الأمريكية,as,1684
أندورا,ad,376
أنغولا,ao,244
أنغيلا,ai,1264
أنتيغوا وبربودا,ag,1268
الأرجنتين,ar,54
أرمينيا,am,374
أروبا,aw,297
أستراليا,au,61
النمسا,at,43
أذربيجان,az,994
الباهاما,bs,1242
البحرين,bh,973
بنغلاديش,bd,880
بربادوس,bb,1246
روسيا البيضاء,by,375
بلجيكا,be,32
بليز,bz,501
بنين,bj,229
برمودا,bm,1441
بوتان,bt,975
بوليفيا,bo,591
البوسنة والهرسك,ba,387
بوتسوانا,bw,267
البرازيل,br,55
إقليم المحيط البريطاني الهندي,io,246
جزر فيرجن البريطانية,vg,1284
بروناي,bn,673
بلغاريا,bg,359
بوركينا فاسو,bf,226
بوروندي,bi,257
كمبوديا,kh,855
الكاميرون,cm,237
كندا,ca,1,1
الرأس الأخضر,cv,238
الكاريبي الهولندي,bq,599,1
جزر كايمان,ky,1345
جمهورية افريقيا الوسطى,cf,236
تشاد,td,235
تشيلي,cl,56
الصين,cn,86
كولومبيا,co,57
جزر القمر,km,269
الكونغو (جمهورية الكونغو الديمقراطية),cd,243
جمهورية الكونغو,cg,242
جزر كوك,ck,682
كوستاريكا,cr,506
ساحل العاج,ci,225
كرواتيا,hr,385
كوبا,cu,53
كوراساو,cw,599,0
قبرص,cy,357
جمهورية التشيك,cz,420
الدنمارك,dk,45
جيبوتي,dj,253
دومينيكا,dm,1767
جمهورية الدومنيكان,do,1,2
الإكوادور,ec,593
مصر,eg,20
السلفادور,sv,503
غينيا الإستوائية,gq,240
إريتريا,er,291
استونيا,ee,372
أثيوبيا,et,251
جزر فوكلاند,fk,500
جزر فارو,fo,298
فيجي,fj,679
فنلندا,fi,358
فرنسا,fr,33
غيانا الفرنسية,gf,594
بولينيزيا الفرنسية,pf,689
الغابون,ga,241
غامبيا,gm,220
جورجيا,ge,995
ألمانيا,de,49
غانا,gh,233
جبل طارق,gi,350
اليونان,gr,30
الأرض الخضراء,gl,299
غرينادا,gd,1473
جوادلوب,gp,590,0
غوام,gu,1671
غواتيمالا,gt,502
غينيا,gn,224
غينيا بيساو,gw,245
غيانا,gy,592
هايتي,ht,509
هندوراس,hn,504
هونغ كونغ,hk,852
هنغاريا,hu,36
أيسلندا,is,354
الهند,in,91
أندونيسيا,id,62
إيران,ir,98
العراق,iq,964
أيرلندا,ie,353
إسرائيل,il,972
إيطاليا,it,39,0
جامايكا,jm,1876
اليابان,jp,81
الأردن,jo,962
كازاخستان,kz,7,1
كينيا,ke,254
كيريباس,ki,686
الكويت,kw,965
قرغيزستان,kg,996
لاوس,la,856
لاتفيا,lv,371
لبنان,lb,961
ليسوتو,ls,266
